연도,서울,인천,경기,부산,대구,광주,대전,울산,세종,강원,충북,충남,전북,전남,경북,경남,제주
2014/01,5432,3092,3289,2458,2448,2220,2522,2452,2303,1888,1997,1929,1903,1721,1869,1965,2394
2014/02,5432,3154,3270,2751,2448,2306,2522,2452,2282,1888,2003,1933,1802,1721,1889,1970,2394
2014/03,5459,3154,3268,2717,2455,2226,2528,2471,2368,1861,2008,1905,1808,1726,1914,2003,2394
2014/04,5484,3030,3296,2849,2505,2226,2528,2471,2396,1931,2024,1985,1902,1738,1943,2000,2394
2014/05,5893,2983,3226,2879,2507,2280,2528,2471,2404,1924,1999,1997,1911,1714,1942,2003,2394
2014/06,5717,3048,3111,2865,2533,2321,2525,2471,2445,1924,1996,2013,1925,1700,1986,2005,2398
2014/07,5679,3022,3068,2866,2533,2307,2525,2471,2445,1899,1996,2062,1915,1752,1987,2004,2398
2014/08,5841,3022,3071,2852,2536,2310,2525,2574,2467,1899,1996,2095,1950,1723,1989,2002,2398
2014/09,5880,3022,3182,2805,2560,2364,2439,2574,2510,1945,1995,2085,2036,1759,1993,2051,2374
2014/10,5988,3035,3151,2761,2546,2335,2436,2614,2584,2009,1978,2070,1994,1743,2054,2085,2341
2014/11,6134,3036,3138,2790,2557,2349,2445,2694,2604,1929,2038,2103,1995,1748,2085,2159,2341
2014/12,6142,3036,3145,2790,2501,2348,2445,2694,2594,1929,2043,2118,1995,1753,2118,2222,2345
